"model","reference_date","horizon","target_end_date","target_group","output_type","output_type_id","value"
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.01",42
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.025",51
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.05",62
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.1",72
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.15",76
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.2",82
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.25",87
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.3",90
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.35",93
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.4",97
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.45",99
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.5",102
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.55",105
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.6",108
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.65",111
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.7",115
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.75",118
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.8",124
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.85",131
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.9",137
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.95",151
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.975",170
"Regular Baseline","2026-08-15",-8,"2026-06-20","Adults","quantile","0.99",189
"Regular Baseline","2026-08-15",-7,"2026-06-27","Adults","quantile","0.01",25
"Regular Baseline","2026-08-15",-7,"2026-06-27","Adults","quantile","0.025",37
"Regular Baseline","2026-08-15",-7,"2026-06-27","Adults","quantile","0.05",48
"Regular Baseline","2026-08-15",-7,"2026-06-27","Adults","quantile","0.1",60
"Regular Baseline","2026-08-15",-7,"2026-06-27","Adults","quantile","0.15",67
"Regular Baseline","2026-08-15",-7,"2026-06-27","Adults","quantile","0.2",73
"Regular Baseline","2026-08-15",-7,"2026-06-27","Adults","quantile","0.25",79
"Regular Baseline","2026-08-15",-7,"2026-06-27","Adults","quantile","0.3",84
"Regular Baseline","2026-08-15",-7,"2026-06-27","Adults","quantile","0.35",89
